"","-1","-0.75","-0.5","-0.25","0","0.25","0.5","0.75","1","1.25","1.5","1.75","2","2.25","2.5","2.75","3"
"Naive",0.042,0.037,0.035,0.033,0.03,0.029,0.028,0.027,0.026,0.027,0.027,0.028,0.029,0.031,0.034,0.037,0.04
"SI",0.051,0.044,0.039,0.036,0.033,0.031,0.03,0.029,0.027,0.026,0.029,0.029,0.032,0.036,0.039,0.045,0.052
"SIMEX",0.049,0.044,0.036,0.03,0.035,0.033,0.029,0.03,0.029,0.027,0.028,0.03,0.033,0.036,0.053,0.054,0.057
"MI",0.098,0.083,0.07,0.059,0.051,0.046,0.043,0.041,0.04,0.04,0.043,0.049,0.055,0.061,0.068,0.077,0.089
"Naive",0.059,0.053,0.046,0.038,0.034,0.031,0.029,0.028,0.028,0.027,0.028,0.029,0.032,0.036,0.041,0.049,0.065
"SI",0.12,0.094,0.074,0.067,0.058,0.039,0.035,0.033,0.032,0.035,0.054,0.07,0.077,0.091,0.12,0.106,0.121
"SIMEX",0.095,0.077,0.061,0.059,0.06,0.051,0.041,0.038,0.038,0.034,0.048,0.07,0.08,0.104,0.116,0.117,0.144
"MI",0.164,0.137,0.109,0.085,0.075,0.058,0.05,0.045,0.047,0.045,0.052,0.062,0.07,0.087,0.09,0.106,0.126
"Naive",0.044,0.04,0.035,0.032,0.03,0.028,0.026,0.025,0.024,0.022,0.022,0.021,0.021,0.022,0.023,0.026,0.028
"SI",0.059,0.051,0.044,0.038,0.034,0.03,0.027,0.025,0.023,0.023,0.022,0.022,0.023,0.025,0.027,0.031,0.036
"SIMEX",0.06,0.053,0.046,0.04,0.033,0.028,0.027,0.026,0.023,0.023,0.022,0.022,0.021,0.023,0.024,0.027,0.031
"MI",0.073,0.063,0.055,0.05,0.044,0.042,0.039,0.036,0.034,0.032,0.032,0.031,0.031,0.033,0.036,0.04,0.044
"Naive",0.078,0.063,0.051,0.045,0.04,0.035,0.032,0.03,0.028,0.027,0.026,0.027,0.028,0.029,0.032,0.035,0.041
"SI",0.14,0.118,0.098,0.07,0.051,0.042,0.036,0.033,0.031,0.028,0.027,0.03,0.032,0.037,0.044,0.053,0.066
"SIMEX",0.134,0.118,0.099,0.072,0.054,0.043,0.039,0.034,0.03,0.029,0.027,0.032,0.032,0.038,0.044,0.055,0.072
"MI",0.141,0.114,0.086,0.072,0.062,0.054,0.048,0.044,0.042,0.04,0.039,0.039,0.041,0.045,0.05,0.059,0.071
